start_kod,start_miasto,stop_kod,stop_miasto,miejsce,nr,mpal,km,stref,staw,waga_br,waga_przel,kwota,kosztow,konto
603,RADOM          ,42,BAZA LOTNICTWAZ, ,616872012202094,"2,0",0,ZN3,0,1200,1200,"95,13",205,42120
600,RADOM          ,8651,BALATONSZABADI  REVANSTEX,KFT.      ,616254010182682,"1,0",0,ZN3,0,88,2948,"135,88",205,42111
600,RADOM          ,66386,SANKT INGBERT   INFORM BRILL GMBH , ,616304010383867,"4,6",0,ZN3,0,1400,2025,"139,52",205,42111
600,RADOM          ,31020,TARZO           DAL MAS MEDALS    , ,616834010401648,"1,0",0,ZN3,0,150,518,"46,91",205,42111
600,RADOM          ,73262,REICHENBACH     SECURTICKET GMBH  , ,616834010401900,"1,0",0,ZN3,0,350,518,"46,91",205,42111
600,RADOM          ,36456,BARCHFELD       PKC SEGU SYSTEMELE, ,616254010182221,"1,5",0,ZN3,0,977,977,"83,84",205,42111
600,RADOM          ,31020,TARZO           DAL MAS MEDALS    , ,616834010402612,"1,0",0,ZN3,0,275,518,"46,91",205,42111
600,RADOM          ,04600,ALTENBURG       ALTENBURGER PERGAM, ,616254010182543,"1,0",0,ZN3,0,300,450,"39,29",205,42111
600,RADOM          ,8792,DESSELGEM       MONDADA BV        , ,616254010182627,"2,0",0,ZN3,0,1340,1340,"102,74",205,42111
600,RADOM          ,31020,TARZO           DAL MAS MEDALS    , ,616834010403433,"1,0",0,ZN3,0,240,518,"46,91",205,42111
