,A,reg_number,date,values,mpal,stops
4279,"Razem 15,9 0 6306 / 0 14 964,78 PLN",TK718EE,11-07-24,"['15,9', '0', '6306', '/', '0', '14', '964,78', 'PLN']","15,9",14
4289,"Razem 15,2 0 8000 / 8000 3 445,79 PLN",TK718EE,12-07-24,"['15,2', '0', '8000', '/', '8000', '3', '445,79', 'PLN']","15,2",3
4340,"Razem 18,4 0 7099 / 7440 10 820,52 PLN",TK718EE,12-07-24,"['18,4', '0', '7099', '/', '7440', '10', '820,52', 'PLN']","18,4",10
4358,"Razem 16,7 0 4486 / 7014 5 599,46 PLN",TK718EE,15-07-24,"['16,7', '0', '4486', '/', '7014', '5', '599,46', 'PLN']","16,7",5
4370,"Razem 16,9 0 4930 / 6710 11 797,38 PLN",TK718EE,15-07-24,"['16,9', '0', '4930', '/', '6710', '11', '797,38', 'PLN']","16,9",11
4409,"Razem 16,7 0 5020 / 6814 6 642,09 PLN",TK718EE,16-07-24,"['16,7', '0', '5020', '/', '6814', '6', '642,09', 'PLN']","16,7",6
4432,"Razem 17,7 0 6749 / 0 14 864,39 PLN",TK718EE,16-07-24,"['17,7', '0', '6749', '/', '0', '14', '864,39', 'PLN']","17,7",14
4456,"Razem 17,0 0 7145 / 7283 3 393,81 PLN",TK718EE,17-07-24,"['17,0', '0', '7145', '/', '7283', '3', '393,81', 'PLN']","17,0",3
4477,"Razem 17,6 0 6438 / 7606 12 891,16 PLN",TK718EE,17-07-24,"['17,6', '0', '6438', '/', '7606', '12', '891,16', 'PLN']","17,6",12
4492,"Razem 13,5 0 8550 / 8550 2 465,07 PLN",TK718EE,18-07-24,"['13,5', '0', '8550', '/', '8550', '2', '465,07', 'PLN']","13,5",2
4518,"Razem 16,3 0 4609 / 6506 13 759,67 PLN",TK718EE,18-07-24,"['16,3', '0', '4609', '/', '6506', '13', '759,67', 'PLN']","16,3",13
4533,"Razem 16,5 0 5260 / 5513 3 438,07 PLN",TK718EE,19-07-24,"['16,5', '0', '5260', '/', '5513', '3', '438,07', 'PLN']","16,5",3
4557,"Razem 16,6 0 6073 / 7620 14 843,30 PLN",TK718EE,19-07-24,"['16,6', '0', '6073', '/', '7620', '14', '843,30', 'PLN']","16,6",14
4606,"Razem 15,8 0 5450 / 5450 3 414,79 PLN",TK718EE,23-07-24,"['15,8', '0', '5450', '/', '5450', '3', '414,79', 'PLN']","15,8",3
4631,"Razem 17,0 0 8308 / 9219 11 783,75 PLN",TK718EE,23-07-24,"['17,0', '0', '8308', '/', '9219', '11', '783,75', 'PLN']","17,0",11
4643,"Razem 6,2 0 2800 / 0 3 467,64 PLN",TK718EE,24-07-24,"['6,2', '0', '2800', '/', '0', '3', '467,64', 'PLN']","6,2",3
4668,"Razem 18,9 0 5652 / 6592 11 773,74 PLN",TK718EE,24-07-24,"['18,9', '0', '5652', '/', '6592', '11', '773,74', 'PLN']","18,9",11
4681,"Razem 8,1 0 3524 / 0 4 635,95 PLN",TK718EE,25-07-24,"['8,1', '0', '3524', '/', '0', '4', '635,95', 'PLN']","8,1",4
4702,"Razem 18,0 0 7938 / 8804 11 861,23 PLN",TK718EE,25-07-24,"['18,0', '0', '7938', '/', '8804', '11', '861,23', 'PLN']","18,0",11
4727,"Razem 16,5 0 4010 / 6735 5 546,45 PLN",TK718EE,26-07-24,"['16,5', '0', '4010', '/', '6735', '5', '546,45', 'PLN']","16,5",5
4755,"Razem 18,8 0 5962 / 6422 16 855,20 PLN",TK718EE,26-07-24,"['18,8', '0', '5962', '/', '6422', '16', '855,20', 'PLN']","18,8",16
4806,"Razem 15,0 0 7900 / 8656 5 658,47 PLN",TK718EE,29-07-24,"['15,0', '0', '7900', '/', '8656', '5', '658,47', 'PLN']","15,0",5
4828,"Razem 15,0 0 3784 / 4976 13 667,27 PLN",TK718EE,29-07-24,"['15,0', '0', '3784', '/', '4976', '13', '667,27', 'PLN']","15,0",13
4872,"Razem 17,0 0 8030 / 9153 3 571,91 PLN",TK718EE,30-07-24,"['17,0', '0', '8030', '/', '9153', '3', '571,91', 'PLN']","17,0",3
4904,"Razem 19,0 0 4092 / 6862 14 898,67 PLN",TK718EE,30-07-24,"['19,0', '0', '4092', '/', '6862', '14', '898,67', 'PLN']","19,0",14
4953,"Razem 18,0 0 7945 / 9314 3 586,28 PLN",TK718EE,31-07-24,"['18,0', '0', '7945', '/', '9314', '3', '586,28', 'PLN']","18,0",3
4980,"Razem 17,6 0 7256 / 8279 17 1.074,13 PLN",TK718EE,31-07-24,"['17,6', '0', '7256', '/', '8279', '17', '1.074,13', 'PLN']","17,6",17
5001,"Razem 24,7 0 5390 / 12371 5 631,20 PLN",WWL4795P,01-07-24,"['24,7', '0', '5390', '/', '12371', '5', '631,20', 'PLN']","24,7",5
5026,"Razem 26,6 0 8670 / 12210 14 1.004,70 PLN",WWL4795P,01-07-24,"['26,6', '0', '8670', '/', '12210', '14', '1.004,70', 'PLN']","26,6",14
5046,"Razem 25,8 0 10802 / 12671 12 940,97 PLN",WWL4795P,02-07-24,"['25,8', '0', '10802', '/', '12671', '12', '940,97', 'PLN']","25,8",12
5081,"Razem 8,5 0 3972 / 0 6 547,83 PLN",WWL4795P,02-07-24,"['8,5', '0', '3972', '/', '0', '6', '547,83', 'PLN']","8,5",6
5101,"Razem 28,5 0 11360 / 13414 5 602,67 PLN",WWL4795P,03-07-24,"['28,5', '0', '11360', '/', '13414', '5', '602,67', 'PLN']","28,5",5
5113,"Razem 24,4 0 7513 / 8871 15 838,22 PLN",WWL4795P,03-07-24,"['24,4', '0', '7513', '/', '8871', '15', '838,22', 'PLN']","24,4",15
5158,"Razem 24,7 0 3879 / 13036 5 561,64 PLN",WWL4795P,04-07-24,"['24,7', '0', '3879', '/', '13036', '5', '561,64', 'PLN']","24,7",5
5180,"Razem 26,1 0 14206 / 13130 12 984,38 PLN",WWL4795P,04-07-24,"['26,1', '0', '14206', '/', '13130', '12', '984,38', 'PLN']","26,1",12
5220,"Razem 25,5 0 7589 / 10946 6 651,78 PLN",WWL4795P,05-07-24,"['25,5', '0', '7589', '/', '10946', '6', '651,78', 'PLN']","25,5",6
5246,"Razem 27,9 0 11880 / 12970 12 901,45 PLN",WWL4795P,05-07-24,"['27,9', '0', '11880', '/', '12970', '12', '901,45', 'PLN']","27,9",12
5270,"Razem 18,7 0 10405 / 11085 6 577,82 PLN",WWL4795P,08-07-24,"['18,7', '0', '10405', '/', '11085', '6', '577,82', 'PLN']","18,7",6
