,A,reg_number,date,values,mpal,stops
8758,"Razem 16,6 0 5664 / 7277 12 823,56 PLN",WWL8513U,11-12-23,"['16,6', '0', '5664', '/', '7277', '12', '823,56', 'PLN']","16,6",12
8777,"Razem 16,2 0 8000 / 8000 3 437,57 PLN",WWL8513U,12-12-23,"['16,2', '0', '8000', '/', '8000', '3', '437,57', 'PLN']","16,2",3
8807,"Razem 16,2 0 5630 / 6771 14 848,80 PLN",WWL8513U,12-12-23,"['16,2', '0', '5630', '/', '6771', '14', '848,80', 'PLN']","16,2",14
8829,"Razem 17,0 0 7663 / 8783 4 526,53 PLN",WWL8513U,13-12-23,"['17,0', '0', '7663', '/', '8783', '4', '526,53', 'PLN']","17,0",4
8842,"Razem 17,0 0 5463 / 6245 6 693,04 PLN",WWL8513U,13-12-23,"['17,0', '0', '5463', '/', '6245', '6', '693,04', 'PLN']","17,0",6
8877,"Razem 15,6 0 6574 / 7516 2 398,03 PLN",WWL8513U,14-12-23,"['15,6', '0', '6574', '/', '7516', '2', '398,03', 'PLN']","15,6",2
8898,"Razem 16,2 0 7297 / 8146 11 720,15 PLN",WWL8513U,14-12-23,"['16,2', '0', '7297', '/', '8146', '11', '720,15', 'PLN']","16,2",11
8909,"Razem 11,5 0 4635 / 5187 6 555,46 PLN",WWL8513U,15-12-23,"['11,5', '0', '4635', '/', '5187', '6', '555,46', 'PLN']","11,5",6
8948,"Razem 17,3 0 7608 / 9252 13 925,83 PLN",WWL8513U,15-12-23,"['17,3', '0', '7608', '/', '9252', '13', '925,83', 'PLN']","17,3",13
8964,"Razem 14,5 0 7800 / 8493 3 457,97 PLN",WWL8513U,18-12-23,"['14,5', '0', '7800', '/', '8493', '3', '457,97', 'PLN']","14,5",3
8976,"Razem 17,9 0 5482 / 6696 12 829,57 PLN",WWL8513U,18-12-23,"['17,9', '0', '5482', '/', '6696', '12', '829,57', 'PLN']","17,9",12
9019,"Razem 16,0 0 5030 / 6157 5 500,61 PLN",WWL8513U,19-12-23,"['16,0', '0', '5030', '/', '6157', '5', '500,61', 'PLN']","16,0",5
9041,"Razem 16,8 0 4600 / 6193 13 690,75 PLN",WWL8513U,19-12-23,"['16,8', '0', '4600', '/', '6193', '13', '690,75', 'PLN']","16,8",13
9061,"Razem 18,0 0 6107 / 7994 5 603,27 PLN",WWL8513U,20-12-23,"['18,0', '0', '6107', '/', '7994', '5', '603,27', 'PLN']","18,0",5
9083,"Razem 17,5 0 5386 / 6068 11 623,65 PLN",WWL8513U,20-12-23,"['17,5', '0', '5386', '/', '6068', '11', '623,65', 'PLN']","17,5",11
9095,"Razem 5,7 0 2100 / 2100 2 202,27 PLN",WWL8513U,21-12-23,"['5,7', '0', '2100', '/', '2100', '2', '202,27', 'PLN']","5,7",2
9106,"Razem 16,8 0 3352 / 5041 13 648,04 PLN",WWL8513U,21-12-23,"['16,8', '0', '3352', '/', '5041', '13', '648,04', 'PLN']","16,8",13
9145,"Razem 4,0 0 730 / 1324 1 136,52 PLN",WWL8513U,22-12-23,"['4,0', '0', '730', '/', '1324', '1', '136,52', 'PLN']","4,0",1
9163,"Razem 17,7 0 3476 / 4031 9 475,85 PLN",WWL8513U,22-12-23,"['17,7', '0', '3476', '/', '4031', '9', '475,85', 'PLN']","17,7",9
